application_id,defaulted_loan
RUWM2049266950699,1
ABXL7467194767600,0
CMRX9833260333404,1
FXNE1359007341856,1
WHZG3090814216827,0
OMCA3377795984194,0
KUTQ0464452150366,0
VEFS4705083752132,1
MHEO2157290734363,1
YRCF4848309901797,0
ICKI6981122293875,0
QIAN6825394310732,0
FZWH5488375925958,1
SJXB3240574328948,0
YNBQ3951565383467,0
ZTAV9166548298894,0
PVKR6547069076637,0
DTCF7409162238850,0
VJDL8760874926096,0
TJPA9707434917743,0
ITWY7419538412979,1
ONWK5208534079798,0
ULMS5054556391485,1
FSKO0110738925491,0
DBCN7839825542341,0
EIJO6766549310526,0
KHWA1669163852264,0
UKTC6171928640048,0
WZNY2301573923101,1
EZYA8274936151108,0
LMZQ1925659164058,0
ZDAV2028845450338,1
UKMX8760011818793,0
MHGD7679517028423,0
SBRD9254733803846,0
OKLS2787167437563,0
DIOD9999268495897,0
BXLX4347445210667,0
PNWL4127304737097,0
AJMB5275730663422,0
YRAL9530381144027,1
ARHT6024375203531,0
STFK0799892555840,0
UWGV3233246212874,0
GJDH1869439064194,0
NZYU5985661815414,0
ZFUZ1696286077408,1
SJOF4732723538559,1
IBLH1265999827503,0
ROCP6597589865399,0
ROPG4800607443471,0
RBQN3118147061262,0
IALP0204564217843,0
BEZY1495236492192,1
LULK9552760204510,0
JTEF3045320256193,1
NQZF0376101927429,0
NFHT8100328643297,0
QERJ2647322705948,1
UDNB9153783069107,0
ZQHV1125884694822,1
BYMK8531104834387,1
YVRU4039041790979,0
CBPC6916606085864,1
PHYF7103199097063,0
ONPO1550168085829,0
FYIS1622927996135,0
ORRC6255219949031,0
VYKL8576162764589,1
HMGD2231661632515,1
ZTRH2719830249234,0
PLZT0488944830004,1
KIKY7701178199213,0
STUB4134058732638,0
IAUM2333116213290,0
XOFG2639674023566,1
ZYNL4951407847228,0
JKIN8908788316538,0
CDVF5635320372426,0
SVPP1904297982502,0
FDLS1844288025865,1
AOHC7770344916632,1
QNCG2675991839540,0
FRFG4864933967412,0
SLCE6830886217949,0
TBKZ8088661524708,0
XWKJ8902636749970,0
ZKRG3688225686555,0
TALO3292632687937,1
HLVD9744409253143,1
SHNE7971154466307,0
KLAK9852974841385,0
XMKB1543343693385,0
MCMM8845727182867,0
OQYU4425381522274,0
KELN9476426568335,0
KIER9589741302467,0
VEXA1513820378297,0
NDKL5240377381840,1
FIZN7559014827078,0
ZVBO6800324383182,0
UVBH1823744141727,1
EHEN6809177246561,0
BOIN1319700290525,0
UHFX2914935917224,1
WFIY3889243359655,0
GSCP5385511593691,0
TOVP9087168024635,0
INQI0742104989646,0
EQJG1045836310681,1
EJVM0749223428956,0
KCKP4613933614580,0
PFTF5014052640597,0
JVLQ5397505272295,0
EANI7335221977396,0
VANN4350212544191,0
NTEQ4679419155756,0
PXOS3355831770097,0
ZRDH4407045088191,0
GKPU1440000414355,0
ZSZK8578784014820,0
VUCO3485041030723,1
NBTV4809038217571,0
SKHI6031424018239,0
ULDL8455045694383,1
NBXE3954255983752,0
RGGN2132840805552,0
WSCQ0263136231642,0
FURW6346784849209,1
TGOA3125218240820,0
MPFA2612814603212,0
EZMC6668388290482,0
WHPH6285439875960,1
GMXB4684461185769,0
ZXYP4652156857466,0
ZAHL6647486635379,0
LDJD8212681048283,1
WZLO4275097486908,1
ZZGH6592391713250,1
GWHJ5453595226382,0
VFLC4159124388614,0
ECYI6775411490336,1
BZNC3281124202452,0
CZMU5697110042363,0
AYJI2697198806496,0
QZCS2695830485428,0
RZCF4280015253809,0
TFHQ8792246353125,0
BZWK1372954679324,0
DELE0468804071187,0
XFBB5266492561518,0
DBNA5614888426834,1
BGXI1904053393959,1
XKDJ0790892274770,0
BBSL1789879894886,0
YTKF8263610817917,0
LQQX6234838418343,0
PMRT5722019956425,0
EXDJ8323626547188,0
OISU7970847637527,0
RGSL5982955782468,0
SWWS3781967846594,0
LIJW3907591832822,0
ECPF0240195479217,0
CJDG3137745881733,1
XSAZ0051556797776,0
MFTG6989841234803,1
UWKG1943006551066,0
EZBS0776766554940,1
XKVW2609927381393,1
RKBS1161620604718,1
PFUN5765075104615,1
UUUQ7835206526782,0
SRMK7828559880670,0
DRPZ3638710674869,0
MWFO7232942541066,0
DDVR6833150290871,0
UMES4516512764211,1
UJTJ9697677697988,0
LBCU9793033037077,0
NWIW8045222187829,0
XHJU2363396522852,0
UHKM0981037735694,1
IOAH2354333484370,0
NXMV6975935341878,0
PGOX3122633149625,0
VBZV0678841686554,0
DVEN1245677695289,0
VIIV0432847415276,0
AJZD8358754231261,0
HTFX9450658230846,0
XJZR0403087676317,0
SBZO0454030544606,1
SYGN1538377516596,0
AMVR7255645940078,0
PVQX9932670574309,0
GNMF2447928160283,0
OEFL5680828666642,0
TXBS2946963367645,0
XUYK0624221028050,1
KAIJ1661455781301,0
TFQQ6558373593529,0
PWST5389957432323,0
JBAI1824819057836,0
MJHC4977897236139,0
RZER9844767348766,1
QLOK5813822145410,1
EGPC8124296340677,0
SDOU9769878899823,1
BAWY1113413783310,0
CPLE7077638409756,0
GEVU5723603484519,1
SYTQ9498693344451,0
GMQJ5315499208289,0
RCGW3512750741132,1
FXZG9664380640562,0
HHWZ8809459766470,0
BFSM3768353091410,0
IPUE2379259603349,0
IHNE2715239527182,0
WVVQ1695727090781,1
FLZI6587123256834,0
RDWK4188767483320,1
ZLHT2829162269403,1
ECJO5272771281404,0
UKQT1621434860381,1
AAAW0596874264275,0
XBAW1194137495186,0
XLDH0893555896404,0
JZGZ6084177629352,1
YZJL2440224210553,0
FGRQ2404633120858,0
DRAA1265359747412,1
VIRK7582622145571,0
VEPL1550691430985,0
YGXP8998708560199,1
UHUH8233294427091,1
TKAY9723155614620,0
YNCP7372886675519,0
LBMV4149855276993,0
IGJF9123398768250,0
APFB9132658378889,0
WDCW6932298821403,0
WLEF6150679133356,0
NVQA3290982866635,1
RVYF1892508517676,0
WKKR1716732366910,0
JYCJ4283956600526,1
CLRA2956068222400,0
XRKX2176410016425,1
CJTR5603045091997,0
IRHF9621066273557,0
PGKN7529386431748,0
QLZU7830887526908,0
EIVJ2670938880847,0
WWCX6790731521226,1
DJNB5725445513261,0
MFEL9274806737711,0
QZLC3027265925766,0
PFIB0070509752872,0
SSDB3277516637660,0
EXQH0501563111963,0
OFPM3516312726295,1
BNTO0890921944182,0
MVGL0041700644363,0
XHND6150520038987,1
BAWF8034188361960,0
QEIM9586352323420,0
URQO6107803425972,0
EXTV4146129897987,1
PZNV5007808611034,0
TMJN7840553668850,0
ETPP2270331512242,0
HJYM9072134480865,0
